x,y,z,w,vx,vy,vz,,,Km/s
0,0,0,333000,0,0,0,,,0
0.38,0,0,0.055,0,0.02757312,0,,,47.87
0.72,0,0,0.815,0,0.02017152,0,,,35.02
1,0,0,1,0,0.01715328,0,,,29.78
1.52,0,0,0.107,0,0.01386432,0,,,24.07
5.2,0,0,317.8,0,0.00752832,0,,,13.07
9.58,0,0,95.152,0,0.00558144,0,,,9.69
19.23,0,0,14.534,0,0.00392256,0,,,6.81
30.103,0,0,17.147,0,0.00312768,0,,,5.43
,,,,,,,,,
Units,,,,,,,,,
G,8.87E-10,,,,,,,,
Mass ,Earth Mass,,,,,,,,
Distance,AU,,,,,,,,
Time,SD,,,,,,,,
Vel,AU/SD,,,,,,,,
